Hybrid_CSID,Center Name,City,Lat,Long,% Ach.,Aug 24 Target,Aug 24 Achieved,Delta,
194,Cult Botanical Garden Rd,Hyderabad,17.46,78.35,81.86%,"76,121","62,316","-13,805",
157,Cult Marathahalli,Bangalore,12.96,77.71,89.04%,"84,798","75,505","-9,293",
3150,Cult Green Park,Gurgaon,28.56,77.21,128.02%,"66,902","85,650","18,748",
1187,Cult Gurgaon Sec-56,Gurgaon,28.43,77.1,58.59%,"83,245","48,770","-34,475",
235,Cult Lajpat Nagar (earlier Ring Road),Gurgaon,28.57,77.24,173.21%,"60,343","104,518","44,175",
172,Cult Gachibowli,Hyderabad,17.43,78.37,44.87%,"72,961","32,735","-40,226",
2609,Cult BTM 4th Stage Vijaya Bank Layout,Bangalore,12.89,77.61,90.64%,"45,525","41,265","-4,260",
315,Cult HSR 24th Main,Bangalore,12.91,77.65,142.04%,"74,918","106,415","31,497",
1074,Cult Indiranagar 6th Main,Bangalore,12.97,77.64,127.14%,"75,840","96,420","20,580",
2413,Cult Sector 45 Gurgaon,Gurgaon,28.45,77.06,90.99%,"60,560","55,105","-5,455",
167,Cult Banjara Hills,Hyderabad,17.41,78.45,61.49%,"75,331","46,320","-29,011",
871,Cult Manikonda,Hyderabad,17.41,78.38,20.51%,"71,381","14,641","-56,740",
1554,"Cult Rajouri Garden, Z Block",Gurgaon,28.65,77.12,66.19%,"55,623","36,816","-18,807",
230,Cult Hoodi,Bangalore,12.98,77.71,122.32%,"61,133","74,776","13,643",
216,Cult Eros Sector 49,Gurgaon,28.41,77.05,88.16%,"60,377","53,229","-7,148",
121,Cult Tribe Indiranagar,Bangalore,12.98,77.64,75.47%,"61,904","46,718","-15,186",
2331,"Cult Spectrum, Sector 75",Gurgaon,28.57,77.38,125.33%,"51,691","64,784","13,093",
119,Cult Bellandur,Bangalore,12.92,77.67,265.82%,"60,324","160,354","100,030",
1186,Cult Kasavanahalli,Bangalore,12.9,77.68,78.49%,"56,829","44,604","-12,225",
1992,Cult Lower Parel,Mumbai,19,72.83,121.32%,"35,921","43,579","7,658",
1023,Cult Harlur 1st Main,Bangalore,12.9,77.66,54.63%,"56,981","31,130","-25,851",
3247,Cult Basavanagudi DV Gundappa Rd,Bangalore,12.94,77.57,92.14%,"31,887","29,380","-2,507",
3397,Cult Nizampet - Hybrid,Hyderabad,78.38,17.51,321.35%,"4,727","15,190","10,463",
154,Cult JP Nagar 7th Phase,Bangalore,12.89,77.59,49.52%,"38,857","19,243","-19,614",
2138,Cult Tilak Nagar,Gurgaon,28.64,77.09,60.88%,"28,952","17,625","-11,327",
492,Cult Gym Richmond Road,Bangalore,12.97,77.6,149.23%,"42,048","62,750","20,702",
3467,Cult Kalyani Nagar,Pune,18.55,73.91,91.89%,"51,547","47,366","-4,181",
200,Cult Madinaguda,Hyderabad,17.5,78.34,47.64%,"31,885","15,190","-16,695",
2228,Cult Kondapur (Raghavendra Colony),Hyderabad,17.47,78.36,83.60%,"54,319","45,410","-8,909",
1141,Cult Panathur,Bangalore,12.94,77.7,98.50%,"56,149","55,307",-842,
168,Cult Kondapur,Hyderabad,17.46,78.37,91.04%,"50,054","45,570","-4,484",
1644,Cult Thanisandra (Near Bhartiya City),Bangalore,13.08,77.63,36.14%,"44,103","15,940","-28,163",
3026,"Cult Ardee City, Sector 52",Gurgaon,28.45,77.08,41.66%,"46,831","19,510","-27,321",
3213,Cult New Rajinder Nagar,Gurgaon,28.64,77.18,135.71%,"49,563","67,264","17,701",
2021,"Cult Wave One, Sec-18",Gurgaon,28.57,77.32,80.90%,"32,189","26,040","-6,149",
1150,Cult Nagarbhavi,Bangalore,12.96,77.51,74.92%,"39,214","29,380","-9,834",
836,LMNT Fitness Club,Bangalore,12.99,77.7,33.95%,"36,161","12,275","-23,886",
2734,"Cult Jayanagar, 4th Block",Bangalore,12.92,77.59,0.00%,"36,566",0,"-36,566",
709,"Bomiso Fitness (Sector 50, Gurgaon)",Gurgaon,28.42,77.05,44.06%,"40,823","17,988","-22,835",
2429,Cult Banjara Hills Road No. 2,Hyderabad,17.43,78.44,100.26%,"41,207","41,315",108,
607,Cult Gym Bellandur,Bangalore,12.93,77.67,99.95%,"38,530","38,510",-20,
1639,"Cult Rohini, Sector 11",Gurgaon,28.73,77.11,0.00%,"29,546",0,"-29,546",
224,Cult Hiranandani Gardens,Mumbai,19.12,72.91,0.00%,"36,500",0,"-36,500",
1053,Cult Miyapur X Roads,Hyderabad,17.5,78.36,90.92%,"45,314","41,199","-4,115",
1972,"Cult HRBR Layout, Banaswadi",Bangalore,13.01,77.65,85.20%,"38,257","32,594","-5,663",
294,Cult Prabhadevi,Mumbai,19.01,72.83,98.32%,"48,451","47,639",-812,
1020,Gold's Gym Aundh,Pune,18.55,73.81,50.35%,"30,298","15,254","-15,044",
3024,Cult Bandlaguda Suncity,Hyderabad,17.36,78.38,156.87%,"39,785","62,411","22,626",
608,Cult Gym HSR,Bangalore,12.91,77.64,98.25%,"44,943","44,155",-788,
687,Cult BTM Layout,Bangalore,12.92,77.61,288.26%,"46,538","134,154","87,616",
134,Cult Mahadevapura,Bangalore,12.98,77.69,100.29%,"44,226","44,354",128,
228,Cult Himayatnagar,Hyderabad,17.4,78.48,0.00%,"42,154",0,"-42,154",
3413,Cult Indirapuram - Hybrid,Gurgaon,28.64,77.36,125.15%,"23,635","29,580","5,945",
1073,Cult Himayatnagar Main,Hyderabad,17.4,78.48,0.00%,"38,205",0,"-38,205",
1070,Cult Gym Madhapur,Hyderabad,17.44,78.39,74.95%,"40,575","30,411","-10,164",
2322,Cult Chembur,Mumbai,19.05,72.91,181.14%,"44,990","81,494","36,504",
1119,Cult Sion,Mumbai,19.05,72.88,74.76%,"31,755","23,739","-8,016",
170,Cult Kukatpally,Hyderabad,17.48,78.39,87.75%,"50,054","43,920","-6,134",
